M$,NSF - Nuclear
0.22,"NON-TECHNICAL PART: The REU Site at Southern Illinois University Carbondale will provide research opportunities for an average of 14 undergraduates per year (including 2 supported internally) for a 9 week period each summer. Students will be involved in interdisciplinary projects in the broadly defined area of materials research. Inclusion of faculty mentors from various disciplines (Chemistry, Physics, Engineering, Microbiology, and the Materials Technology Center) will enable the REU students to develop skills needed to excel in both academic and industrial research environments, where interdisciplinary teams are standard and researchers must communicate effectively across disciplines. Students will also be required to think about the application of their research to new technologies and the manufacturing of new devices, and they will have the opportunity to present their results to a diverse audience. Primary goals of the site include: (1) creating a positive image of science and engineering as a career choice, (2) providing a nurturing environment and instilling a sense of confidence in the art of discussing and practicing science, (3) improving the participants' oral and written communication skills, (4) teaching of basic research tools, including literature searches and the operation of modern instrumentation, (5) fostering a collaborative teamwork approach to research, and (6) increasing the number of domestic students, especially those from underrepresented groups, who choose to pursue STEM careers. A detailed assessment plan will evaluate the success of the activity.<br/><br/>TECHNICAL PART: The Site will recruit primarily from 2 and 4-year institutions residing in neighboring states or the Mississippi Delta region, and from those institutions with traditionally high enrollments of students from underrepresented groups. Students participating in the Site will learn to network with other scientists and engineers through various social activities including weekly lunches with faculty mentors and weekend trips to cultural, industrial, and recreational locations. The available mentored research projects promise to be excellent training grounds for working in materials and related fields. Students will be exposed to a variety of transformative projects at the forefront of science and engineering, including: (1) studies related to the synthesis of advanced functional materials (graphene, two-dimensional layered chalcogenides, metal oxide nanowires and functionalized structures, inorganic heterostructures, nanocomposites, nanoscale catalysts, novel electron-accepting materials, electrospun nanofibers, etc.), (2) materials characterization (via electron microscopies, solid- and solution-state nuclear magnetic resonance spectroscopy, mass spectrometry, low-temperature electronic, optical/magnetic transport measurements, ultraviolet/visible/infrared spectroscopies, etc.), (3) theoretical/computational studies (wherein students will learn how to study materials via density functional theory calculations, molecular dynamics simulations, etc.), and (4) materials applications varying from energy storage and photovoltaics, to biosensors and nanoparticle-based antigen-delivery vehicles."
0.24,"1351443<br/>Fan, Rong <br/><br/>The ultimate objective of this research project is to develop a microdevice platform that can enable the measurement of a single cell simultaneously for genomic, transcriptomic, proteomic and phenotypic parameters, in other words, at all the levels of the Central Dogma(DNA to RNA to protein to phenotype). Specifically, the PI will develop a microfluidic device for reliably separating cytoplasmic and nuclear contents from the same single cells followed by whole-pool amplification of genomic DNAs and messenger RNAs. The amplified products will be retrieved and analyzed using state-of-the-art genomics technology to link single-cell genetic variation to the expression of affected genes across the whole genome. Single-cell, multiplex protein assay and quantitative analysis of cellular behaviors (phenotype) can be integrated within this microdevice to further correlate genes, transcripts to the levels of proteins and cellular functions. The PI will apply this platform to investigating stem cell differentiation and potentially provide new insights needed for understanding how gene expression is regulated to determine stem cell fate and diversity. Such analysis is critical to fully addresse a range of fundamental biological questions such as embryonic development, cancer and immune cell diversity. <br/><br/>This project also acts as a backbone for the integration of research and educational activities spanning from K12 through graduate training, from Yale University through the local community. Integrating microtechnology into biology represents an urgent requirement of expertise for the future health science researchers and medical practitioners. The synergy of research and education will result in the development of a virtual micro-physiologic system lab for demonstration to not only Yale College students but also to the general public, and increase the participation of minorities and under-represented groups.<br/><br/>Due to the interdisciplinary nature of the project, this CAREER award by the Biotechnology, Biochemical, and Biomass Engineering Program of the CBET Division is co-funded by the Systems and Synthetic Biology Program of the Division of Molecular and Cellular Biology."
0.197044,"The broad goal of this research project is to use the tools of topology and geometry to help molecular biologists and chemists better understand the structure and behavior of DNA, proteins, and complex synthetic molecules. The topological model under study would help molecular biologists by simplifying the analysis of the site-specific recombination mechanism for closed circular DNA molecules. The investigator also aims to identify the forms of knots, links, and non-planar graphs that arise in proteins, and to model how these complex structures may have occurred. This information may offer valuable insights into protein folding mechanisms and degradation pathways. Synthetic organic molecules are normally too small to see with an electron microscope; when chemists synthesize a complex structure they use data from nuclear magnetic resonance (NMR) spectroscopy to provide evidence that the molecular structure has a particular form. Since these structures are large enough to be somewhat flexible, both topology and geometry have to be taken into account when comparing the symmetry properties of the NMR data to those of a physical model. The investigator is working with organic chemists to identify different types of symmetries exhibited by complex structures and to design new structures with interesting symmetry properties. <br/><br/>In contrast with knots and links, whose topology depends exclusively on their embedding in the three dimensional sphere, the intrinsic structure of some graphs can affect the topological properties of every embedding of the graph in a given three dimensional manifold. For example, some graphs have the property that for any embedding G of the graph in a three-manifold M, there is no orientation reversing homeomorphism of the pair (M,G). Such a graph is said to be intrinsically chiral in M. The investigator will work on characterizing which graphs are intrinsically chiral in the three-sphere and in other three-dimensional manifolds, as well as determining other properties of embedded graphs which are independent of the particular embedding of the graph. The project draws on three-manifold results including Jaco-Shalen and Johannson characteristic decompositions, Mostow's rigidity theorem, Thurstons' hyperbolization theorem, and the classification of Seifert manifolds, as well as techniques from knot theory and the theory of tangles."
0.339585,"With this award from the Major Research Instrumentation Program (MRI) and support from the Chemistry Research Instrumentation Program (CRIF), Professor Theodore Burkey from the University of Memphis (UM) and colleagues Tomoko Fujiwara, Daniel Baker and Xuan Zhao will acquire a 400 MHz NMR spectrometer with solid state capabilities. This spectrometer allows research in a variety of fields such as those that accelerate chemical reactions of significant economic importance. The instrument also allows study of biologically relevant species. In general, Nuclear Magnetic Resonance (NMR) spectroscopy is one of the most powerful tools available to chemists for the elucidation of the structure of molecules. It is used to identify unknown substances, to characterize specific arrangements of atoms within molecules, and to study the dynamics of interactions between molecules in solution or in the solid state. Access to state-of-the-art NMR spectrometers is essential to chemists who are carrying out frontier research. The cryogenic probe provides a significant increase in sensitivity relative to standard NMR probes. The results from these NMR studies have an impact in synthetic organic/inorganic chemistry, materials chemistry and biochemistry. This instrument is an integral part of teaching as well as research performed by undergraduate and graduate students. Seven faculty members at UM serve as research project leaders comprising the primary user team. The NMR increases productivity, enables new areas of investigation, and enhances UM as a regional resource for industry. Since the NMR solids capability is not available in the region it has become a resource for regional research-intensive institutions including the University of Mississippi. The automatic sample changer along with internet connectivity allows real experimental results to be integrated in lab curricula for UM and local four-year colleges.<br/><br/>The award is aimed at enhancing research and education at all levels, especially in areas such as (a) studying cancer phototherapy using multifunctional nanocomplexes; (b) studying chemical modification of smart chitosan implants; (c) analyzing chain exchange kinetics and mechanism of tri-block copolymer micelles during sol-to-gel transitions; (d) investigating functional nanoporous membranes; (e) designing of metal complexes for catalytic splitting of water; (f) developing sub-picosecond photoresponsive organometallics; (g) investigating halogen bond-driven assemblies in pi-conjugated oligomers for materials applications; (h) designing sphingosine kinase and diacylglycerol kinase assays; and (i) studying autotaxin inhibitor optimization."
0.418922,"Approximation defines our world. For example, the letters on this screen have smooth curves and bends. But zoom in and all you see are squares: pixels. The smaller the pixels (i.e., the finer the approximation), the smoother a curve looks. Add three colors and suddenly we can approximate a rainbow. In a sense, science is all about refining and improving approximations to reality. Take Newtonian physics, for example. It works great at medium scales, but breaks down when things are too big or too small. Einstein's relativity and quantum mechanics work much better at those scales. And these theories require sophisticated mathematics. Operator algebras arose as a framework for quantum mechanics. Over the years many classical theories were extended to this noncommutative context: geometry, topology, probability and more. This focused research group project addresses several outstanding questions in operator algebras and their analogies in other areas of mathematics.<br/><br/>The PIs will spearhead an international effort to capitalize on recent connections between operator algebras and other areas such as dynamics, measure theory, coarse geometry and K-theory. Specifically, the PIs shall push analogies between nuclear dimension and asymptotic dimension, two notions defined via approximation and encompassing a huge swath of examples, to address K-theoretic questions such as the Universal Coefficient Theorem and the Baum-Connes and Farrell-Jones conjectures."
0.14,"At its most fundamental the physical description of the world around us seems to require two ingredients: elementary particles and interactions between pairs of such particles. For example, photons, the elementary particle of light, can scatter from a single electron and charged electrons will repel each other via the Coulomb force. Even objects that contain many elementary particles seem to interact in pairs. The scattering between atoms, with their many protons, neutrons, and electrons, for example, is often described in terms of interactions between pairs of them. At a bigger scale the motion of the moon, earth, and sun is describable in terms of the gravitational attraction between pairs of them. The composition of the moon, earth, or sun does not matter. This work, however, will focus on the study of three-body interactions, those that are not simply the sum of the pair-wise interactions, but those whose effect is zero when one of the three bodies is removed, and examine their influence on the physical description of the world. This project will train a University of Maryland graduate student. The student will be exposed to quantum physics at a fundamental yet practical level. The proximity to local atomic-physics laboratories, including the Joint Quantum Institute and NIST, will also greatly benefit the student.<br/><br/>In atomic, molecular, and optical physics, there are several cases where three-body interactions are known to matter. For example, in the description of interacting, reacting, and colliding molecules, such forces arise in the so-called Born-Oppenheimer approximation when integrating out the fast electron motion. Conceived in nuclear physics, tri-atomic Efimov states are now studied with ultra-cold atoms at temperatures on the order of a nanoKelvin. Binding of these weakly-bound states crucially depends on a so-called three-body parameter. In all cases three-body interactions emerge when high-energy modes or fast constituents are ""eliminated"" from the description. <br/><br/>This group will design or engineer many-body systems of ultra-cold atoms or molecules held in laser-generated periodic potentials that solely interact through three-body forces. More precisely, starting from a Hamiltonian, where atoms do interact through pair-wise interactions, the investigators will derive effective Hamiltonians that only contain three-body interactions. The ability to freely adjust the periodic trapping potential as well as the strength of the two-particle interactions will be crucial. Research into such effective many-body Hamiltonians has intellectual merit for two separate reasons. Firstly, the research addresses fundamental questions about the origin or emergence of three-body forces. Moreover, for the first time it may be possible to create a realistic system with controllable two-body forces and thereby highlight the role of three-body forces. A second intellectual merit of a design of such a Hamiltonian is that they might have quantum ground states or phases with unique order. For example, it can lead to superfluids with pairs of atoms. This approach relies on controllable cancellations between contributions to the two-body interaction, leaving only three-body interactions. In addition, it relies on time-dependent changes in and driving of the single-particle optical-lattice potential to populate a subset of levels, whose energies simulate three-body interactions. There will be impact in other fields of physics where effective field theories and collective phenomena are important, such as condensed matter and high-energy physics. In particular, with atomic system one can study processes that are fundamental but far-less accessible in systems investigated by those fields."
0.179798,"Structural health monitoring is an important subject area of research because of the aging infrastructure of the nation and the desire to extend life of buildings and structures. Distress in reinforced concrete structures such as bridges, buildings, and nuclear power plants can be detected by cracks in is concrete. It is advantageous to record characteristics of the cracks remotely and mechanically to reduce use of manpower. The cracks can be recorded using digital camera. The challenge is to quantify the length and size of these cracks in computer based system. Mathematics based fractal analysis has a potential to quantify the cracks. An algorithm will be developed for fundamental fractal analysis of 2D digital visual images and apply the algorithm to surface cracks in reinforced concrete structures. The algorithm will be validated using previously collected data in laboratory tests. Research will be pursued to assess structural damage from the crack patterns.<br/><br/>The objective of this project is to create a vision-based structural health monitoring system for the automatic assessment of damage in reinforced concrete civil infrastructures. The system is based on the fractal analysis of 2D images of the visible spectrum and will be capable of retrieving surface crack patterns that can provide a quantitative measure of damage. The PI will investigate fundamental fractal properties of 2D digital visual images and apply the algorithm to surface cracks in reinforced concrete structures. The database from the Network for Earthquake Engineering Simulation Project Warehouse will be used to validate the algorithm. It is planned to validate the hypothesis that fractal analysis can be used for nondestructive evaluation method and can provide crack pattern. The crack pattern can be used to assess structural damage. It is planned to incorporate results of this project in existing graduate course."
0.096576,"This REU Site award to the University of Georgia (UGA) located in Athens, GA, and Clark Atlanta University (CAU), in Atlanta, GA, will support the training of 10 students for 10 weeks during the summers of 2014- 2018. This 14-year old program, begun as a partnership between UGA and CAU, focuses on genomics, computational biology, and epigenetics -- and their integration in the new area of systems biology. Participants are expected to do full-time lab research as well as participate in seminars and various workshops, such as the responsible conduct of science, systems biology, molecular genetics research, career opportunities in industry and academia, and the graduate school application process. REU participants have access to a rich array of individual mentor's facilities as well as many interdepartmental laboratories and centers with core facilities for mass spectrometry, microarray analysis, next generation sequencing, nuclear magnetic resonance, etc. Mentors are drawn from a variety of departments including Genetics, Biochemistry and Molecular Biology, Computer Science, Physics and Astronomy, Plant Biology, and Plant Pathology. The program's recruitment effort is through http://www.genetics.uga.edu/FGCB and visits to the Atlanta University Center of Clark Atlanta University, Morehouse College, and Spellman College as well as Fort Valley State University. Participants are selected based on academic record, research performance, and potential for outstanding research in genomics, computational biology, and epigenetics by a committee of faculty mentors from UGA and CAU. Student participants are tracked to determine their continued interest in their academic field of study, their career paths, and the lasting influences of the research experience. Success of the program will be assessed by various means, including use of the REU common assessment (SALG URSSA). <br/><br/>This site is designed to increase participation of under-represented groups in graduate study in the biological, physical, and mathematical sciences. It is expected that at least 50 students, many from underrepresented groups and from colleges with limited opportunities for research, will be trained over the 5 years of the program.<br/><br/>Students are required to be tracked after the program and must respond to an automatic email sent via the NSF reporting system. More information is available by visiting http://www.genetics.uga.edu/FGCB , or by contacting the PI (Dr. Jonathan Arnold at arnold@uga.edu) or the co-PI (Dr. David Logan at dlogan@cau.edu)."
0.281884,"With this award from the Major Research Instrumentation Program (MRI) and support from the Chemistry Research Instrumentation Program (CRIF), Professor Latha Ramakrishnan from St. Cloud State University and colleagues Tamara Leenay, Mohammad Mahroof-Tahir and Mark Mechelke will acquire a 400 MHz NMR spectrometer. This spectrometer will allow research in a variety of fields such as the study of biologically relevant species. In general, Nuclear Magnetic Resonance (NMR) spectroscopy is one of the most powerful tools available to chemists for the elucidation of the structure of molecules. It is used to identify unknown substances, to characterize specific arrangements of atoms within molecules, and to study the dynamics of interactions between molecules in solution. Access to state-of-the-art NMR spectrometers is essential to chemists who are carrying out frontier research. The results from these NMR studies will have an impact in synthetic organic/inorganic chemistry, materials chemistry and biochemistry. This instrument will be an integral part of teaching as well as research performed by undergraduate students at St. Cloud State University and neighboring institutions such as North Hennepin Community College as well as local and regional industries.<br/><br/>The award is aimed at enhancing research and education at all levels, especially in areas such as (a) investigating fundamental biochemical principles such as the function and mechanism of action of major inhibitory and excitatory neural communication systems in flatworms; (b) studying the mechanism of toxicity of natural producs towards cancer cells; (c) investigating structure-properties, i.e., physical, chemical, and electronic relationships of vanadium complexes to decode their potential anti-diabetic mechanisms; and (d) studying the mechanism of cytotoxicity of cyclic Mannich bases."
0.27,"The project studies the interaction of light (mostly lasers) and charged particles (mostly electrons) with atoms, ions, and small molecules. The results are of importance for the understanding of the fundamental collision dynamics, and they also fulfill the urgent practical need for accurate atomic data to model the physics of stars, plasmas, lasers, and planetary atmospheres. The short-pulse intense-laser part of the project deals with accurate solutions of the time-dependent Schroedinger equation on a numerical space-time grid. With the rapid advances currently seen in computational resources, such studies for realistic rather than idealized model systems have only become possible in recent years. This work is important for further developments in imaging and ultimately controlling of submicroscopic reactions, which is expected to have broad impact by reaching out from physics to chemistry and ultimately biology. Many experimental efforts worldwide are supported through the present project, which will also train a post-doctoral associate and a number of research students in the basic understanding of the problem and the use of highly sophisticated numerical techniques.<br/><br/>Most of the numerical calculations will be based upon the non-perturbative R-matrix (close-coupling) method, as well as direct solutions of the time-dependent Schroedinger equation using various grid-based approaches and basis-function expansions. For single and double ionization of complex atoms by intense atto/femto-second laser pulses, the methods will be combined in such a way that individual parts of the ""big problem"" can be treated in highly efficient and optimized ways. This strategy will be extended to the treatment of double ionization involving inner shells as well as diatomic molecules. Of particular interest will be the highly challenging, but ultimately necessary simultaneous treatment of the nuclear and electronic motion. There are major difficulties associated with both the formulation of the problem and the subsequent numerical treatment. Much emphasis will be placed on the testing of numerical methods and the visualization of the results, both of which are ideal for student involvement."
0.216,"As critical applications are converging onto the Internet, effective response to large-scale network dynamics like failures and demand spikes is gaining more importance. Major portion of the time for handling such network dynamics is determining how to respond, mostly performed manually in the current practice. Experienced human administrators are typically the ones who can quickly find a close-to-optimum response. However, as the networks are getting larger and more diverse, managing and attaining effective responses for an online operational network necessitates meta-tools to swiftly learn and characterize the network. <br/><br/>This project will develop tools for automated management of a running network by framing heuristic optimization, empirical learning, experimental design, and network management with a simulation interface. The project will develop an online management and experimentation system for large-scale networks in an environment that enables trainee administrators to explore what-if scenarios, without having to risk the network operation. The project will also develop algorithms for empirical characterization of network dynamics, and tools for quick and close-to-optimal configuration of numerous network parameters in response to failures or customer traffic trends.<br/><br/>The project will integrate behavioral scientific concepts into the practice of operational network management. The automated management using online optimization may establish a foundation for managing multi-owner systems, e.g., power grid, transportation, and water infrastructure networks. The project's heuristic optimization and experiment design methods as well as the approach to operator training are applicable to training in safety and mission critical industries where mistakes of ill-trained administrators are intolerable, e.g., airline pilot and nuclear reactor administrator training."
0.437643,"This award will support a detailed theoretical study of the mergers of dead solar-type stars. Such mergers have recently been proposed as an important channel for the production of supernovae explosions of the Ia type, which are the most important probes of the expansion of the universe over cosmic time. The research will use the CASTRO hydrodynamics code, and will model what happens when two white dwarfs come into contact during the merger process. The simulations will include a nuclear reaction network to determine whether it is possible for an explosion to take place at the time of the merger. The mergers will be modeled in the orbital (corotating) reference frame will minimize the numerical error, maintaining angular momentum conservation throughout coalescence. The simulation approach will be validated through rigorous testing that will demonstrate the ability of the algorithm to maintain stable Newtonian orbits. <br/><br/>The award will also support the training of students and early-career scientists in computational astrophysics. Codes from this project will be widely distributed to the community. The project is also expected to have a scientific impact by improving the understanding of supernova progenitors."
0.381234,"This award supports theoretical astrophysical studies of magnetars, which are a rarely observed type of neutron star. Neutron stars are city-sized objects that form out of the gravitational collapse of massive stars during a supernova explosion. Magnetars are fast-spinning and highly magnetic neutron stars that may have ultra-powerful eruptions in just a few hours. Their formation is still a mystery, but these short-lived outbursts are proposed to be the cause of many mysterious gamma-ray bursts and superluminous supernova explosions in the universe. The main focus of this work is to develop a prediction from the theoretical models that will be tested by observations. The PI will train and mentor undergraduate students in research and organize a two week long international summer school on ?theoretical modeling of astrophysical transients,? which will teach students how to analyze the physical properties of short-lived observed astronomical phenomena. <br/><br/>The PI and his team will develop models of the neutrino-heated outflows from newly-formed protomagnetars. They will also solve the neutrino-heated magnetohydrodynamic wind equations along open field lines set by the force-free geometry of the magnetosphere. Finding new sites for the heavy r-process to operate is important for nucleosynthesis models, in general. The work will also study the observational signatures of the birth of millisecond magnetars by providing optical, X-ray and gamma-ray spectral predictions for comparison with observations. The work will also inform our understanding of the nuclear equation of state especially near the high-mass limit, which will probe the most extreme physical conditions in the universe."
0.42769,"The research objective of this Faculty Early Career Development (CAREER) project is to gain a fundamental understanding of the mechanisms that deteriorate the mechanical properties of geomaterials subjected to environmental forcing, as well as of the deformation/failure events potentially triggered by such alterations. In particular, the project aims to formulate novel theoretical approaches to quantify the risk of failure induced by multi-physical agents, link theories with predictive models and use these tools for interpretation and design purposes. To achieve these goals, the project will combine a range of methods to enhance the physical foundations of geomechanical modeling frameworks, thus improving their ability to predict homogeneous and localized deformations initiated by multi-physical processes. More specifically, the project will involve energy methods for detecting the onset of instabilities during non-mechanical forcing, innovative bifurcation analyses for assessing the performance of constitutive formulations, computational analyses to identify possible sources of heterogeneity induced by transient phenomena and a novel strategy to couple the evolution of the mechanical properties with the hydrologic, thermal and chemical processes modifying the microstructural characteristics of a geological solid. The research activities will be integrated with a dedicated educational plan, with the purpose to coordinate education, training and outreach efforts. The planned initiatives will involve a wide range of users, ranging from graduate and undergraduate students to practitioners, local high schools and the general public. Such a wide audience will be engaged through a number of activities, including the development of e-learning tools, the involvement of undergraduate students in research and internationalization activities, the organization of workshops for local high-school teachers and the global dissemination of the research findings. <br/><br/>Given the pervasive distribution of multi-physical processes in the natural environment, the research findings resulting from this project can benefit the society by supporting the quantitative assessment of environmental risks, as well as the safe and sustainable implementation of numerous technological activities. In particular, the tools and methods formulated by this project will assist engineers and geoscientists in the interpretation, monitoring and prediction of critical events in geotechnical and geophysical contexts. Prominent examples are the forecasting of natural hazards, the management of aging infrastructures, the optimization of energy technologies and the underground storage of hazardous substances (e.g., nuclear waste or carbon dioxide). As a result, the findings of the project can have an impact on a number of neighboring disciplines, such as reservoir engineering, environmental engineering, geophysics, engineering geology and geomorphology. In addition, the future incorporation of the above mentioned advances in the technological practice can yield long-term benefits for a number of challenging societal problems, such as the pressing need for durable infrastructures, the reduction of casualties and property loss in urbanized areas, the safe supply of natural resources and the safeguard of public investments in the area of environmental sustainability."
0.732254,"The PIs develop and test the theory and algorithms for a new sampling and reconstruction framework that combines spatial samples of an initial state together with the early time samples of an evolving state to reconstruct the initial distribution and the possibly unknown evolution operator. Using the evolutionary nature of a signal, the PIs aim to recover an initial distribution at a fine resolution from multiple coarse snapshots obtained at appropriate time intervals.<br/><br/><br/>One of the most important aspects of the proposed research is to provide the means to detect potential threats to society (such as chemical, nuclear or biological hazards) using a network of distributed sensors such as the smartphones people carry, rapidly gather and process the information about the threats source location and its distribution and evolution in time, and generate alerts so that appropriate measures are taken to safeguard life and infrastructure. The same ideas can be used in other industrial or biomedical applications in which the time-dependency between samples permits reduction in the number of expensive instruments via the increase of their usage frequency."
0.329503,"Modern society increasingly depends on the work of interdisciplinary teams using information and communication technology (ICT) to control complex systems with high reliability (for example, in airplane cockpits, traffic control rooms, and nuclear power plants). Engineered systems such as these are deterministic, with well-defined states and parameters of normal operation which allow control teams to achieve their goals through direct interaction with ICT. But when the focus is a natural (i.e., social or living) system rather than a machine, the control task imposes quite different cognitive demands which make the design, development, and integration of ICT more challenging. High-risk, fast-response medicine is an example of a work environment that deals with a natural system (the patient), where the need for effective ICT support is as high as for engineered systems. The goal of this research is to develop innovative approaches for real-time information presentation to support situation awareness and collaborative work by fast-response, interdisciplinary medical teams. In particular, the PI will examine how context-specific information should be presented to support such teamwork while accounting for team members' perceptual and cognitive limitations. To this end, she will focus on the team-dependent and information-intensive processes of evaluating critically ill patients in the high-risk medical domains of pediatric trauma and emergency resuscitation. The research will involve field studies, video review of medical events, design and development of display prototypes, and evaluation. Project outcomes will include conceptual and empirical understanding of awareness in fast-response medical teamwork, approaches for augmenting distributed cognition through interactive displays, lessons from the development of display prototypes for improving awareness of rapidly unfolding events and their progression, and lessons from evaluating such prototypes in real-world settings.<br/><br/>Broader Impacts: The research will contribute to and inform diverse scientific fields, including information presentation in dynamic environments that rely on interactive information presentation, human-computer interaction where work conditions limit direct interaction with information systems, and the automatic capture and integration of data arriving from multiple sources. Because this research crosses many disciplinary boundaries, it will serve as a platform for an integrated and interdisciplinary education and outreach program."
0.54091,"INTELLECTUAL MERIT<br/>Mitochondrial ribosomes synthesize a small, but functionally important subset of proteins. Although evolutionarily related to bacterial ribosomes, mitochondrial ribosomes display some mechanistic and compositional differences from their prokaryotic counterparts. Mitochondrial ribosomes are entirely membrane-anchored, whereas in bacteria the ribosomes cycle between soluble and membrane-anchored populations. The mitochondrial ribosomes display a higher protein:rRNA content and this is largely attributed to (i) the presence of ""mitospecific"" extensions on many ribosomal proteins in addition to their bacterial homology domains, and (ii) the presence of novel mitochondrial-specific ribosomal proteins. The role of the mitochondrial-specific ribosomal proteins/domains in ensuring that the assembly and activity of the ribosomes is tethered to the membrane is largely unexplored and represents a long-term goal of this research. The elucidation of mechanisms of mitochondrial ribosome assembly and regulation have important implications for the fundamental cellular questions concerning protein translation systems and will address how mitochondrial ribosomes have evolved in composition and function from their prokaryotic ancestors. This research project will directly address how the mitochondrion coordinates its translational activity with the biogenesis of the oxidative phosphorylation system, a process which requires the uniting of proteins encoded by nuclear genes with the mitochondrial gene products. <br/><br/>BROADER IMPACTS<br/>A major objective of this project is to continue to provide innovative and transformative research opportunities for both undergraduate and graduate students at Marquette University. The proposed research activities will provide a training platform for student researchers in many aspects of molecular biology, genetics, biochemistry and cell biology. Undergraduate students, by working alongside graduate students, will become active members of a close scientific research and mentoring community. Students will also be encouraged to present their work at national research meetings and to publish their findings, goals which will also hone their scientific writing and communication skills. By exposing students to the excitement of inquiry-based biological research early during their undergraduate tenure, it is hoped to increase the number of students electing scientific research careers following graduation. Finally, exposing students to innovative research in closely mentored research environment will be instrumental for increasing their engagement, awareness, and appreciation for the importance of scientific discovery and rigor in society today."
0.257467,"Non-technical abstract: <br/>Thermal expansion is a property that all materials possess and most commonly occurs as a volume increase in response to a temperature increase. However, recent new materials discoveries have revealed instances of negative thermal expansion (NTE), a peculiar phenomenon of heat-induced volume contraction. NTE materials are not currently used in industrial contexts, but hold strong application potential in stabilizing telecommunication components, as elements of electronic devices benefiting from thermally controlled stresses, and the potential to form rigid composite structural materials with engineered thermal properties. This project uses light- and X-ray-based spectroscopy to study excitations driving the NTE effect in a representative set of materials with the goal of achieving an understanding capable of leading new material discovery efforts. Training of the next generation's high-tech workforce through both graduate and undergraduate participants performing experimental activities at Connecticut's flagship state university and national user facilities is an integrated component of the project. In addition, a novel curricular effort offers junior and senior science majors the opportunity to develop demonstrations suitable for presentation on a document camera platform in large lecture halls for use in introductory physics classes serving science and engineering freshmen and sophomore students. Educational development for students and by students, guided by departmental faculty and staff, is a central theme of the Doc-cam demos project.<br/><br/>Technical abstract: <br/>The past 10 years has seen an accelerated rate of discovery of materials with robust and sizable negative thermal expansion (NTE). The goal is to advance our understanding of NTE associated with dynamics of tightly bound, stiff molecular units and local atomic arrangements allowing for strong nuclear lattice fluctuations in a direction transverse to a structural linkage defining the unit cell. Because thermal expansion of any sign is necessarily an excited state effect and involves anharmonic interactions, the basic science motivation surrounds the likely possibilities that strong quantum fluctuations, rotational tunneling, and many-body nonlinear localization play a role in this remarkable effect. Inelastic X-ray scattering, infrared and terahertz absorption spectroscopy, and thermal transport measurements will be performed in a select subset of recently discovered NTE materials whose structures have related features, including members possessing the important perovskite structure. Detailed study of Brillouin zone boundary and zone-center modes believed to contribute will be assessed and compared across materials classes. Educational activities involve training a new generation of scientists through a novel project permitting advanced science majors to exercise their creative potential by developing new document camera demonstrations for use in large lecture settings. This curricular effort flips the demo room in the spirit of peer instruction and other recent science teaching innovations."
0.442368,"In this project funded by the Chemical Structure, Dynamic & Mechanism B Program of the Chemistry Division, Professor Christian Wolf of the Department of Chemistry at Georgetown University will develop practical dual-mode chemosensors that produce distinct circular dichroism (CD) signals combined with either a UV or a fluorescence response that can be used for rapid determination of the absolute configuration, enantioselectivity, and yield of a large variety of chiral compounds. The envisioned sensors and current leads are designed to exploit substrate recognition and chirality amplification events for quantitative real-time analysis, and will address common drawbacks of chirality sensing, including slow response time and elaborate substrate derivatization prior to analysis. The introduction of robust chirality chemosensing assays is expected to increase the productivity of many laboratories by providing practical, time-efficient and cost-effective screening tools that streamline current asymmetric reaction discovery and optimization protocols while minimizing waste production and energy consumption. This interdisciplinary research program will train the next generation of scientists and be conducted by a team of graduate, undergraduate and local high school students. An industrial partnership with Merck in Rahway, NJ, and several international collaborations that address several aspects of the chirality chemosensing development will enhance the local research and education infrastructure.<br/><br/>The project involves the in-depth analysis of the operational mode, kinetic and thermodynamic aspects of the substrate binding event, the substrate-to-sensor chirality imprinting process, and the ultimate chiroptical sensor response. In parallel to the development of stereodynamic probes that operate based on covalent substrate binding, stereodynamic metal complexes and other probe designs that incorporate noncovalent interactions with the chiral target compounds will be explored. These directions will include new molecular recognition and chiral amplification motifs and further extend the general scope of chirality sensing. In these cases, systematic sensor developments will go hand in hand with detailed mechanistic studies using NMR (Nuclear Magnetic Resonance), ESR (Electron Spin Resonance), MS (Mass Spectrometry), X-ray, UV (Ultraviolet), CD (Circular Dichroism), fluorescence and in situ IR (Infrared) in combination with titration and competition experiments. The investigation of real case applications, i.e. the direct analysis of asymmetric reactions, will also be pursued."
