M$,NSF - Cosmology
1.5,"""This award is funded under the American Recovery and Reinvestment Act of 2009 (Public Law 111-5).""<br/><br/><br/>The first decade of the 21st century has witnessed a remarkable convergence of the fundamental questions about the origin, structure and the future fate of our Universe. Questions such as ""What is the Universe made of?"" "" What are matter, energy, space and time?"" , which have now come to the forefront of research in experimental particle physics, observational cosmology and astrophysics, are tied together by remarkable developments on the theoretical front: An effective synthesis of previously disconnected areas of general relativity and cosmology, quantum gravity, quantum field theory, string theory and even pure mathematics.<br/><br/>The purpose of the group's proposed activity is to perform fundamental theoretical research at the crossroads of particle physics, quantum gravity, cosmology and string theory, with applications ranging from physics beyond the standard model, to the multiverse approach in cosmology, the interface of string theory and condensed matter, and the nature of space and time in quantum gravity. The PIs believe that their group is uniquely positioned to take advantage of the diversity in their expertise, tied together by the overlap in interests and focus on the same fundamental questions about the Universe.<br/><br/>Specifically, the PIs propose to take the following approach. Mina Aganagic is one of the leading experts in topological string theory. Her work will focus on applications of topological string methods and string dualities to novel mechanisms of supersymmetry breaking and in string phenomenology. She will further pursue the study of black hole entropy from the perspective of topological strings. Raphael Bousso has done seminal work on holography and geometric entropy bounds, co-discovered the landscape of string-theory vacua, and proposed a solution to the cosmological constant problem. He will work on challenges we face in extracting predictions from the landscape and the eternally inflating multiverse, such as the measure problem in eternal inflation, and replacing anthropic conditions by more general selection criteria. Petr Horava participated in a number of turning-point discoveries in string theory, such as orientifolds, D-branes, and M-theory. He will apply methods of nonequilibrium field theory to quantum gravity and string theory, study quantum gravity with anisotropic scaling, further develop the interface with condensed matter physics, and look for novel phenomena in low-dimensional models of string and M-theory. Yasunori Nomura has contributed significantly to our understanding of physics beyond the standard model; he pioneered grand unification in higher dimensions and proposed novel TeV scale theories. He will work on theoretical particle physics and cosmology relevant to experiments coming in the next decades, in particular the LHC, with emphasis on supersymmetry breaking and its mediation, the quark and lepton masses, and the implications of the multiverse on the TeV scale physics.<br/><br/>The broader impacts resulting from the proposed activity include training of students and postdocs who become the next generation of scientists of the nation as well as the world. Berkely Center for Theoretical Physics promotes diversity to encourage female and minority students and scientists. The fundamental questions addressed in this research are of deep interest to the general public, and the PIs will continue promoting the importance and excitement of fundamental science in the broader context of our society. The PIs will work with QuarkNet teachers to convey the essence of cutting-edge scientific discoveries to high school students, and will continue making themselves available as resources. They will work to enhance the award-winning Particle Adventure website on physics beyond the standard model and string theory. They will continue to disseminate the results of the current scientific research to under-privileged areas of the world via lecture series and educational activities such as Summer schools."
0.008,"The 10th International Symposium on Particles, Strings and Cosmology (PASCOS '04) is an important international conference covering all the major topics at the interface between particle physics, string theory and cosmology . There will be a mixture of talks in all three areas, and especially on the interfaces such as SUSY/strings, dark matter string and brane cosmology. The results of the latest experiments in particle physics, cosmology and astrophysics will be presented as well as talks on future experiments and detectors. <br/><br/> The funds will be used to pay for U.S. Graduate student participation as well for several of the U.S. speakers. The lectures will be published.. The school will be held at the facilities of the Physics Department of Northeastern University."
0.0462,"This proposal will parallelize and apply a new and innovative method that was developed for the numerical simulation of 3D hydrodynamics and gravitational clustering in cosmology. Our goal is to explain the formation of galaxies and large-scale structure in the universe by simulating the coupled effects of gravity, gas dynamics, and radiative transfer in an expanding cosmological universe. A correct solution must resolve the multi-scale, nonlinear growth of gravitational instability, which leads to anisotropic gravitational collapse, highly supersonic motions, strong shocks, radiative cooling, and many orders of magnitude of density contrast. The method is a merger of our substantially improved version of the Smoothed Particle Hydrodynamics (SPH) Method, called Adaptive SPH, or ASPH, and the well-known Particle-Particle/Particle-Mesh(P DSG1 3M) gravitational N-body method, in a cosmologically expanding, matter-dominated Friedmann universe. The ASPH method revolutionizes the standard SPH method by introducing new algorithms for time-and space-variable, anisotropic smoothing and for shock tracking to eliminate spurious heating due to artificial viscosity away from shocks. The ASPH method has significantly increased the dynamical range that can be achieved by numerical hydrodynamical simulations, and is currently the best method to achieve the resolution required to study the problems mentioned above. This project will develop and apply a new parallel computer version of our existing algorithm, that will significantly reduce the CPU time per calculation. DSG1"
0.307571,"AST-0708960/0707505/0708309<br/>Norman/Ostriker/Ricotti<br/><br/>This is a three-award collaborative project, led by Dr Norman, to harness the power of future petascale supercomputers for self-consistent simulations of early structure formation in cosmologically representative volumes. Astronomers' expectation of what will be observed at high redshifts (above 7) by future major facilities is largely based on theoretical and numerical models of the early growth of cosmic structure in a standard Lambda-CDM cosmological framework. The new simulations will span local and global scales using adaptive mesh refinement (AMR) technology developed specifically for petascale computers. This enables simulations with ten billion particles, a spatial dynamic range of a hundred thousand, and complex baryonic physics including radiative and chemical feedback. As theories are at present poorly constrained by observations, an equally important effort will be a rigorous attempt at uncertainty quantification and sensitivity analysis. The study will thus address forefront questions in cosmology using the most complete physical models running on the most powerful computers, analyzed using best practices. The result will be comprehensive models of early cosmic evolution along with a rigorous assessment of their predictive value.<br/><br/>This work will substantially advance the state-of-the-art in numerical multi-physics cosmological simulations, which can be expected to continue previous successful impacts of code availability, both within and outside of the astrophysics community. The new petascale methodologies will also be publicized well outside the usual astronomy circles, and the enhanced version of the Enzo community code will be released to the public. In addition, both the numerical results and the synthetic observations will be published to the international research community using mechanisms provided by the National Virtual Observatory."
0.09,"The project involves a number of areas of collaborative research with N. Tsamis (U. of Crete), T. Prokopec (U. of Heidelberg), and the PI's graduate students in the general area of quantum field theoretic effects in cosmology . These include: (1) Comparing standard cosmological perturbation approximations with the exact solution recently obtained by the PI and Tsamis; (2) A method to calculate the effect of quantum gravity on inflation; (3) Developing a model in which the observed excess of matter over anti-matter is generated during inflation. (4) Computing what happens to the vacuum polarization induced by charged, massless scalar particles after the end of inflation; (5) Investigating whether a very slightly unstable, alternate theory of gravitation can be constructed which explains the motions of cosmological objects without the need for dark matter. (6) Expressing the vacuum polarization of charged massless scalar particles in terms of the natural geometrical objects during inflation; (7) Developing an improved formalism for computing quantum gravitational effects in a locally de Sitter-cosmology background. <br/><br/>Problem (1) is relevant to the precision measurements of the cosmic microwave anisotropy by the WMAP satellite and the various missions planned for the future. Standard approximation techniques are almost certainly sufficient to compute the primordial spectrum from simple models of inflation but the exact result obtained by the PI and Tsamis may be very useful if an exotic model pertains. A successful outcome for problem (2) would completely change the paradigm of inflationary cosmology, resolving two of its major problems (why was the initial state homogeneous enough to begin inflating? and why is the observed cosmological constant so small?) and transforming it into a predictive theory. A successful outcome for problem (3) would resolve the long-standing conundrum that inflation tends to wipe out the excess of matter over anti-matter. Problem (4) should settle the issue of whether or not inflation provided the small but cosmological scale magnetic fields that served as the seeds of the fields we observe in present-day galaxies and galactic clusters. Problem (5) represents the last realistic hope for explaining cosmological motions using an alternate theory of gravitation rather than dark matter. Problems (6-7)represent incremental advances in formalism and good exercises for beginning graduate students."
0.105,"The primary focus of the proposed research project is to use cosmology as a tool for understanding elements of fundamental physics such as quantum gravity and the nature of the vacuum. At the same time, the proposed project will be firmly connected to new precision cosmological observations, in particular developing techniques for constraining early universe cosmology which will be immediately applicable to future high-precision cosmological measurements. The two major tasks to be undertaken are the phenomenology of inflation and its connection to the exciting new observational data and how non vacuum energy-based mechanisms/schemes could account for the observed acceleration of the expansion rate of the universe. A central element of the proposed research program is to extend and update previous work relating cosmological observations to the physics of the early universe, especially inflation. This will involve analysis of new data sets released during the period covered by the grant, and error forecasting for future experiments. The projects of this proposal include: updating and expanding efforts to constrain inflationary physics using observational results; developing and distributing new numerical codes for searching or characterizing inflation parameter space; investigating further transplanckian <br/>effects; and investigating alternate, non-inflationary early universe models."
0.12,"This award is funded under the American Recovery and Reinvestment Act of 2009 (Public Law 111-5). <br/><br/>The study of the fundamental physics that governs evolution of our universe is one of the most exciting research fields in modern physics. In the last two decades, technological advances have made possible a host of cosmological observations strongly constraining the properties of the universe and making possible the formulation of the Standard Model of cosmology in analogy with the Standard Model of particle physics. At the same time, direct cosmological observations are almost always complemented by data from particle accelerators, earth-based detectors and cosmic ray observatories.<br/>Along these lines, the proposed project will have two aspects. The first aspect is related to fundamental theoretical cosmology and envisions a concerted research effort towards understanding and explaining the puzzle of dark energy. The approach to this problem that will be explored is based on the idea of the late time phase transitions in the universe, where the field responsible for the phase transition carries gauge charges. Such models have a very good chance to be tested in near future collider experiments. <br/>The second aspect of the project will be tightly connected to models with large extra dimensions that can accommodate a TeV-scale gravity. Probably the most interesting and intriguing feature of these models is the possibility of production of mini black holes in future collider experiments. The project envisions building a black hole event generator for the LHC which will play an important role in confirming or excluding this class of models. This event generator (tentatively called BlackMax) will be integrated into the ATLAS Monte Carlo programs Herwig and Pythia.. The broader impact of the proposed activities is that they will lead to an improved understanding of the possible connection between dark energy and the Standard Model. This would further link cosmological observations with fundamental physics. This project will provide an excellent training ground for students at both the undergraduate and graduate level. Developed numerical tools as well as the black hole event generator itself will be made public for the benefit of a wider physics community. Scientific results will presented at national and international conferences and workshops. The PI is also a guest Lecturer at ""Petnica Science Center"" which is a center for gifted high school students."
0.221418,"Smooth invertible transformations, or deformations, are fast becoming important tools in modern data analysis. The nonlinear nature of deformations makes these objects extremely powerful while at the same time making them challenging to estimate and theoretically explore. This proposal is dedicated to the development and theoretical understanding of deformations applied to three specific areas of research: statistics, cosmology and image analysis. The theoretical properties of estimated deformations for generating nonparametric and semiparametric statistical estimates are analyzed through a surprising connection with Stein's method. In addition, the investigator focuses on recent results found in the theory of optimal transport, which has the potential to provide a rigorous theoretical foundation for deformable templates. The computational aspects of estimated deformations will utilize a new Euler-Lagrange characterization of a penalized maximum likelihood estimate, which can significantly relieve the typical computational burden associated with estimation. One consequence will be to make these methods available for widespread use by statistical practitioners in a broad range of problems: nonparametric and semiparametric density estimation, estimating gravitational lensing in cosmology and posterior sampling techniques, to name a few. Another intellectual merit of this proposal are the scientific ramifications of two new proposed deformation estimates of weak lensing of the cosmic microwave background (CMB): a wavelet/Slepian quadratic estimator and a new Bayesian lensing estimator. Gravitational lensing studies have become one of the most successful tools for probing the nature of dark matter. The precise estimation of lensing is important for a number of reasons including, but not limited to, understanding cosmic structure, constraining cosmological parameters and detecting gravity waves. The investigator proposes to uses wavelets and Slepian multi-tapers to adapt the quadratic estimate to local foreground contaminants and sky cuts, which are ubiquitous features in most modern cosmological surveys. The investigator proposes a new Bayesian estimator which has the potential to dramatically change the way gravitational lensing studies are done and how they are integrated within other astronomical surveys.<br/><br/>Smooth invertible transformations, or deformations, are fast becoming important tools in modern data analysis. They have been used with spectacular success in the field of computational anatomy where time varying vector field flows which generate deformations are used to statistically analyze medical fMRI images and quantify abnormal morphological structure. In cosmology, deformations are used to model gravitational distortions of the cosmic microwave background from dark matter density fluctuations, and have resulted in a deeper understanding of cosmic structure. Even though these important tools are becoming integrated in modern scientific methods, the statistical properties of estimated deformations have been largely unexplored. This proposal is dedicated to the development and theoretical understanding of deformations applied to three specific areas of research: statistics, cosmology and image analysis. The tools resulting from this project will be useful, not only in statistics, but also in other branches of science and technology ranging from genetics to machine learning. In the field of physics, for example, the potential scientific progress resulting from gravitational lensing estimation could a have broad impact on scientific understanding and the future of scientific research. Moreover, it is becoming increasingly important to train graduate and undergraduate students with the tools necessary to successfully navigate interdisciplinary work, and who are prepared for independent research. The interdisciplinary nature of the proposal will foster a culture of collaboration that will reach the fundamentals of statistical education and will deepen ties with statistics and other physical sciences. In addition, through the integration of research and education, the proposal will teach both graduate and undergraduate students research skills. The result will be two fold. First, it will train graduate students to become creative independent researchers who can contribute within an academic environment. Second, it will educate undergraduates to navigate a work environment which values creative independent investigation."
0.114754,"This award funds the research of Prof. David Chernoff at Cornell University. Substantial theoretical and observational evidence supports the occurrence of inflation at very early times, a brief interval of extremely rapid expansion of the Universe shortly after birth. The mechanism is a profound problem for cosmology and fundamental physics. String theory, the best-developed tool to explore this epoch, suggests that today our Universe may contain relics of that early, energetic phase. The relics are loops of string stretched from microscopic scales to macroscopic scales by the rapid expansion. The proposed research investigates the physics of string loops and possibilities for detecting them. Astronomical detection would be a revolutionary development for string theory and cosmology. Such a discovery would provide a direct glimpse of otherwise inaccessible elements of the underlying physical theory. It would help elucidate the mechanism for inflation while extending our study of the universe to the earliest moments of the big bang itself.<br/><br/>At the very beginning, the universe is believed to have grown exponentially in size via the mechanism of inflation. The almost scale-invariant density perturbation spectrum predicted by inflation is strongly supported by recent observational data. Subsequent evolution, the traditional purview of big bang cosmology, can be accurately modeled with tried-and-true physics. However, the precise inflationary mechanism remains a profound problem for cosmology and for fundamental physics. Intellectual Merit: String theory, the best-developed tool to explore this epoch, suggests the inevitable birth and survival of one-dimensional structures of cosmological sizes, namely, cosmic superstrings. Long, horizon-crossing strings fragment to give loops which fall into growing matter perturbations. The local density of these fossil remnant loops within the galaxy is enhanced over the universe's mean density of loops by many orders of magnitude and numerous loops exist within the galaxy. The PI will investigate how these relics can be sought by optical lensing of background stars and studied in detail through gravitational wave emission. These objects will provide some of the best experimental means to learn about string theory and the birth of our universe. Broader Impacts: As part of this proposal (1) The PI will help train postdoctoral fellows, graduate students and undergraduates in theoretical physics and cosmology. (2) The PI is committed to publicizing the big questions of theoretical physics and cosmology that motivate the work. The PI will speak in local science museums and help bring the research to life for general audiences."
0.03,"PHY 0506002 <br/>PI: Daniel Chung <br/>Institution: University of Wisconsin <br/>Title: Interface of High Energy Theory and Cosmology <br/><br/><br/><br/>The PI proposes research at the interface of high energy theory, astrophysics, and cosmology. Recent measurements of the cosmic microwave background (CMB) have corroborated the basic picture of inflationary cosmology, which gives an approximate prediction of a spatially flat universe with scale invariant density perturbations on the largest length scales. If the inflationary paradigm is correct, the CMB provides a handle onto the earliest history of the universe. The PI plans to investigate the nonadiabatic interplay between curvature and isocurvature perturbations arising from particle production during inflation, derive signatures of superheavy dark matter (and other nonthermal scenarios), and search for novel consistency conditions for inflationary scenarios. These investigations will not only provide new ways to interpret existing and future CMB and structure formation data, they will allow constraints on conjectures of physics beyond the Standard Model. Another set of proposed research activities focus on understanding the cosmological implications of the anticipated discovery of Higgs and other new TeV scale physics at the LHC. In this context, one important handle for cosmology is the potential generation of the baryon asymmetry at the electroweak phase transition. Because electroweak baryogenesis is a complicated phenomenon, a prediction of the baryon asymmetry accurate to an order of magnitude still requires refinements. The final set of proposed research actvities are centered on the idea of alternate theories of gravity, which have a multitude of implications for cosmology. One avenue for further exploration is in the context of extra dimensions, and the other is in the context of modifications of fourdimensional Einstein-Hilbert action (particularly in the infrared). The PI plans to explore quantum as well as classical field theoretic aspects of the fields coupled to the alternate gravity."
0.211,"Research will be carried out in cosmology and theoretical elementary particle physics. The main theme of this research will concern the nature and distribution of the dark matter that makes up most of the mass of the universe. This will be explored in a variety of contexts, ranging from implications of particle physics theories of the origin of the universe to studies of the formation and evolution of galaxies and large scale structure in the Universe. An emphasis will be placed on developing predictions that can be tested by comparison with the rapidly increasing data. The ultimate goal of all this work is to contribute toward the creation of a fundamental theory of the origin, evolution, and matter content of the universe. Along the way, improved methods will be developed for working out the predictions of cosmological models and comparing them to observations, including state- of-the-art supercomputer simulation and visualization techniques. These techniques will be used for education and outreach as well, and will be made widely available so that other theorists and observers can use them."
0.131,"Research in cosmology and particle physics will focus<br/>on the nature and distribution of dark matter in the universe. Using very high resolution simulations and other methods, the project will investigate all the issues that have been raised concerning the hypothesis that cold dark matter (CDM) makes up most of the dark matter in the halos of galaxies. If any of these issues actually turn out to be serious problems, it may mean that the main component of dark matter in galaxy halos and on larger scales is not CDM, and it may give us clues regarding the properties of the dark matter. The project will also study the implications of the simulations and data for dark matter detection via the detection of the mutual annihilation of particles that make up the dark matter. The research will also study the constraints on cosmological parameters, including neutrino mass, from cosmological structure formation, in particular the formation of far away galaxies. This work is very important, since it will clarify the nature of most of the matter in the universe."
0.005,"The 7th International Symposium on Particles, Strings, and Cosmology (PASCOS 99) will be held in Granlibakken, Tahoe City, California, December 10-16, 1999. This symposium will bring together experimentalists and theorists in elementary particle physics, astrophysics, and cosmology to engage in the lively exchange of ideas which is so important to progress in the field. The opportunity for researchers in astrophysics and cosmology to learn from scientists in particle physics, and vice versa, will be particularly valuable."
0.589759,"AST-0349213 Caldwell<br/><br/>Dr. Robert Caldwell, at Dartmouth College, will undertake a program to investigate the physics of the Universe. He will focus on the problem of dark energy, the dominant form of energy in the cosmos, which is responsible for the cosmic acceleration and has transformed our picture of the Universe. Discovery of the physical nature of dark energy would have a basic impact on many branches of physics. Combining cosmology, fields and gravitation, the PI will carry out analytic calculations and numerical computations to investigate: constraints and clues to the basic properties of the dark energy; fundamental physics models of the dark energy, such as quintessence; and the behavior of quintessence in rapidly varying gravitational fields and near black holes. These investigations are well timed to coordinate with the many current and planned experimental and observational programs poised to reveal the nature of the dark energy.<br/><br/>The PI will build upon his commitment to education through a program of student mentoring and curriculum development at Dartmouth. To advance scientific literacy in the wider community, public lectures and outreach activities with local schools, through a partnership with a local science museum, will be undertaken. The centerpiece of these efforts will be a teacher enhancement workshop, to help teachers bring the excitement of cosmology back to the classroom."
0.055276,"This project in computational cosmology deals with studies of inhomogeneous cosmological space-times in regions where the standard linear theory of cosmological perturbations has its limitations, namely super-horizon scales or highly non- linear collapse of matter structures. Prof. Laguna's approach will utilize high performance computing to solve the full non-linear set of Einstein's equations governing cosmological dynamics. This will be followed up with investigations of the propagation of light in clumpy universes. Here, the emphasis will be on two topics: weak gravitational lensing and polarization of the cosmic microwave background (CMB) radiation. This research is timely and complementary to previous research in this area that makes little use of the full details of modern gravitation theory. CMB polarization experiments are now being undertaken by several different groups, and it will be important to understand the implications of their results."
1e-06,"P.I.: Anil Ananthaswamy, Writer (Science)<br/>Proposal Number: 0637460<br/><br/>Author and science magazine news editor, Anil Ananthaswamy is writing a book, To the Edge of Reason: Pilgrimages to the Holy Sites of Cosmology. The book will tell the story of cutting-edge cosmology in a unique and innovative way. The author will take readers to the very ends of the Earth to discuss science that, at times, can seem to be at the very edge of reason, stretching our incredulity with tales of ghostly neutrinos, missing dark matter, or mysterious dark energy. <br/><br/>The chapters of the book will each represent a personal account of a trip to a remote region of Earth. Each such site hosts a telescope or instrument that is being (or will be) used to study an important aspect of the universe and is poised to answer key questions in cosmology. Antarctica has a special place in astronomy and cosmology, historically with the balloon experiments for detecting the cosmic microwave background, and now with the neutrino detection projects, the Antarctic ice sheet is a window to the cosmos. Ananthaswamy would like to show readers just how science is done in this stark and beautiful environment."
0.00858,"Historians and philosophers of science have studied the development and evaluation of theories in a wide variety of fields, and have developed a number of different approaches to these topics. What little attention has been devoted to modern cosmology has focused almost entirely on the controversy between the big bang theory and the steady state theory, a controversy which ended in the mid-60s. Since then a great deal of theoretical effort has been devoted to understanding the very early universe. This dissertation research project intends to develop a content-rich history of this research, with a focus on issues of theory development and evaluation. The NSF dissertation research support will allow the researcher to interview several prominent cosmologists and visit archives with collections related to modern cosmology (England, Chicago, Boston, and Princeton). These interviews and archival visits will allow the researcher to develop a more nuanced and insightful historical account of this period and to pose methodological questions to working scientists. In addition, detailed interviews with cosmologists will be a valuable resource for future historians. The research and interviews will focus on two methodological questions. Much of early universe research has been motivated by the alluring idea that fundamental physics dictates large scale properties of the universe. In particular, inflationary cosmology has won widespread acceptance due to its ability to solve a number of ""fine-tuning"" problems of standard cosmology. However, cosmologists' assessments of the importance of this success differ widely. Via focused interviews with proponents and critics of inflation (and earlier theories with a similar motivation), the researcher will explore the reasons for these differing assessments. The interviews will also focus on attempts to make precision tests of inflation."
0.174453,"High-resolution and high-sensitivity microwave sky surveys are just beginning, from experiments such as the Atacama Cosmology Telescope (ACT) and the South Pole Telescope (SPT). They will detect thousands of galaxy clusters through the spectral distortion of the microwave background radiation known as the Sunyaev-Zeldovich Effect (SZE). These experiments have the remarkable potential to measure galaxy cluster velocities using a small signal known as the kinetic SZE (kSZ), which would be the first direct determination of velocities for objects at cosmological distances. The cosmic velocity field is a powerful probe of structure growth, since velocities are the direct result of gravitational instability. Early studies were generally inconclusive because of large systematic errors. This project is a comprehensive theoretical, phenomenological, and observational study of galaxy cluster velocities, including (1) characterization of the cosmological information; (2) statistical methods for extracting it; (3) calculating the impact of systematic errors; (4) improved calculations of model predictions for the cluster velocity and momentum statistics; (5) studying the accuracy with which cluster velocities and momenta may be extracted from observations in different wave bands; and (6) cluster peculiar velocities and momenta from the ACT experiment. This newly accessible source of cosmological information is a novel probe of the formation of structure in the Universe, providing independent tests of the standard model in cosmology and better determining several fundamental parameters.<br/><br/>The project includes educational initiatives at a range of levels, including mentoring of a graduate student; involving undergraduates in the research effort; and secondary education and public outreach efforts in cooperation with the Allegheny Observatory."
17.449975,"OPP-0638937<br/>Carlstrom<br/><br/>This is a program of research activities broadly directed toward using the new ten-meter South Pole Telescope (SPT) to probe the nature of dark energy and inflation. The telescope and the initial detector array were constructed under a prior award, and science observations are starting during the austral winter 2007. This study includes support for operation of the SPT, storage and reduction of the data, and science analysis. The initial project is a four-thousand square degree survey, using the Sunyaev-Zel'dovich Effect (SZE) to detect all galaxy clusters more massive than a specific limiting value, independent of their redshift. Combining these results with optical redshifts, both currently available and yet to be observed, will place tight constraints on the equation of state of the dark energy. SPT observations will also measure fine-scale temperature anisotropies, which can determine whether a departure from exact scale invariance exists, as is predicted by the current 'standard' inflationary cosmology.<br/><br/>Longer-term projects include developing a new one-thousand-pixel, dual-polarization, multi-band polarimeter for the SPT, to measure the Cosmic Microwave Background (CMB) polarization anisotropy over scales of an arc-minute to several degrees. Measuring the angular power spectrum of the so-called B-mode polarization, as well as the large angular scale modes imprinted on the CMB by inflationary gravitational waves generated in the first instants of the Universe, exploits the unique and powerful capabilities of the SPT for research at the cutting edge of cosmology and astrophysics. The critical questions, and recommendations for research programs to help answer them, have been the focus of several national reports, including the 2000 NRC Decadal Report on Astronomy and Astrophysics, the NRC report Connecting Quarks with the Cosmos, the OSTP inter-agency report Physics of the Universe, and the reports of the Task Force on CMB Research and the Dark Energy Task Force. The science of the SPT research projects is at the heart of cosmology, is directed at answering some of these most compelling questions, and will have significant broader impacts throughout cosmology and physics.<br/><br/>More broadly, the project contributes to the training of the next generation of scientists by integrating graduate and undergraduate education with technology and instrumentation development, astronomical observations, and scientific analysis. The SPT surveys will also lead to large, publicly available datasets. The sharing of forefront research with non-scientists extends beyond the university to both established and new programs based on exploiting the growing popularity of video and audio content on the web. The International Polar Year celebration also offers a special opportunity to contribute to public awareness of polar science."
0.136143,"ABSTRACT <br/>AST 0098437<br/>Hui<br/><br/>This is a Collaborative Research Project with Matias Zaldarriaga (0098506) of New York University.<br/><br/>The light from a quasar (also called a qso) often has multiple dips in intensity, or absorption lines, at positions corresponding to the redshifted Lyman alpha line (at rest wavelength 1216 angstroms) from neutral hydrogen. These often occur as a series of absorption lines, called the Lyman alpha forest. The redshift is caused by the expansion of the universe. If we can calculate<br/>how the universe is expanding (based on a cosmological model), we can tell where the photons were absorbed in relation to us. Thus, we can use the absorption map to plot the positions of<br/>clouds of intervening hydrogen between the quasar and us. The clouds in the Lyman alpha systems are not very massive compared to objects like galaxies. Because of this, reliable computer simulations (numerical experiments) of their gravitational collapse (formation) from primordial fluctuations are possible. These Lyman alpha forest simulations produce structure similar to what we see in the nearby universe (filaments, walls, and voids ) by starting with small fluctuations in matter density and then letting gravity and other known forces act. These detailed calculations of the structure and distribution of matter are at the frontiers of current research and <br/>these recent advances in computer modeling have made it possible to use observations of the Lyman-alpha forest at redshifts between 2 and 4 as powerful cosmological tools. <br/><br/>The forest has offered, and will continue to offer, interesting constraints on many quantities such as the amplitude and shape of the primordial mass power spectrum, the neutrino mass, the matter density, the cosmological constant, and the reionization epoch. These constraints, in conjunction with those from other observations, provide important checks on our fundamental understanding of cosmology.<br/><br/>This project will primarily focus on the ""transmission power spectrum"", a statistic used in cosmological models which is directly observable. The program has two goals:<br/>1) Examination of fundamental assumptions: The project will test several methods to address questions about the influence of continuum-fitting in determining the measured fluctuations in the forest , the interpretation of these fluctuations in terms of mass fluctuations resulting from gravitational instability, and the effect of fluctuations in the ionizing background and the effective equation of state of the intergalactic medium on the interpretation.<br/> 2) Maximizing the scientific return from the data: To this end the program will address redshift-distortions, (which affect both the program of mass power spectrum recovery, as well as<br/>the ability to measure the cosmological constant through its geometrical distortion of the<br/>correlation function), degeneracies among parameters (by performing a full likelihood analysis<br/>which will reveal the degeneracies in the 4 to 6 free parameters in the current model of the forest), and obtaining a better understanding of the thermal history of the universe, (by using the drop in temperature with time after reionization to infer or at least limit the epoch of reionization from measurements of the temperature using the small-scale cut-off of the transmission power<br/>spectrum at redshifts between 2 and 4.)<br/>Funding for this project was provided by the NSF program for Extragalactic Astronomy & Cosmology (AST/EXC).<br/>***"
0.875598,"This project is to construct and deploy a multiband Parallel Imager for Southern Cosmology Observations for the Magellan telescope. This instrument will make fast, simultaneous, pipelined measurements of brightness, color, and redshift toward faint astronomical sources. The instrument comprises a camera that acquires simultaneous images in four optical passbands along with tightly coupled real-time analysis software to be deployed on the 6.5 meter Magellan telescope. It is designed to address a number of important questions in astrophysics including follow up to surveys by the South Pole Telescope and the Atacama Pathfinder Experiment obtaining images and photometric redshifts of galaxies discovered with these surveys. It will also perform precision photometry of supernovae in order to map out the history of cosmic expansion. These measurements will help to understand the nature of Dark Energy. It would also be used to measure exoplanet transits using the four colors which can constrain planetary orbits and physical parameters.<br/><br/>The instrument will be available to the many users of the Magellan consortium giving broad access to the astronomical community and will heavily involve student participation in the design, construction and deployment of the instrument as well as in its use."
0.330739,"The PIs propose to concentrate the study in three elements of physics beyond the standard model: non-baryonic dark matter, negative-pressure dark energy in the universe, and cosmic microwave background radiation. The proposed work will focus on producing theories, models, and calculations for comparison with experimental results in order to achieve a coherent picture of the physics, which governs the universe."
0.289936,"The ""Feedback in Realistic Environments"" (FIRE) project introduces exciting new ways to account for the effects of the earliest generation of stars, formed when the Universe is young, on the formation of galaxies and clusters of galaxies, the large-scale tracers of cosmology, the science of the origin and evolution of the Universe. The FIRE computer models will include more of the important physics than has ever been done before, and early tests suggest this work agrees with observations more cleanly than previous studies, which had to include various arbitrary assumptions in order to make progress. The technical details within FIRE will also disentangle problems due to the uncertain physics of galaxy formation from problems caused solely by the limitations of computer modeling.<br/><br/>FIRE will carry out novel computational studies of galaxy formation using high-resolution cosmological simulations that resolve the interstellar medium (ISM) with unprecedented realism. Star formation injects large quantities of energy and momentum into the surrounding medium, and this stellar feedback generates galactic winds that affect the galactic environment. This project will run the first cosmological simulations that self-consistently include important stellar feedback physics. Combining a resolved, multiphase ISM with highly non-linear feedback interactions produces powerful galactic winds in broad agreement with observations, without using any of the ad hoc prescriptions which previous simulations have had to invoke. FIRE simulations will address the regulation of galaxy growth by stellar feedback, the properties of galactic inflows and outflows, the morphological transformation of galaxies, quenching of star formation in massive galaxies, active galactic nucleus feedback, the escape fraction of ionizing photons, and stellar feedback on dark matter halos. All of these simulations will be connected directly with multi-wavelength observations. In particular, simulated absorption line statistics compared with high-redshift measurements will test predictions of gas flows in and out of galaxies. Technical enhancements incorporated into FIRE will help to quantify the relative importance of numerical and physical uncertainties in galaxy formation modeling. The initial conditions of all FIRE simulations will be made available to the community to motivate others to follow this approach.<br/><br/>The project includes training of four graduate students, who will also learn from the collaborative interactions across three institutions. Visualizations from FIRE form a basis for outreach targeted at high school students, including workshops in computational thinking for teachers. Other efforts include seminars aimed at teachers, local astronomy enthusiasts, and students from underrepresented groups, working to explain the connection between local phenomena on Earth and the cosmic processes studied by FIRE."
